District,Zone,Geographical Region,Development Region,Year AD,Year BS,Total,Male,Female
Sindhupalchok,Bagmati,Mountain,Central,2010,2067,96101,47027,49074
Sindhupalchok,Bagmati,Mountain,Central,2011,2068,89454,43255,46199
Sindhupalchok,Bagmati,Mountain,Central,2007,2064,70431,35107,35325
Udayapur,Sagarmatha,Hill,Eastern,2008,2065,105700,51729,53971
Udayapur,Sagarmatha,Hill,Eastern,2009,2066,102355,49850,52505
Udayapur,Sagarmatha,Hill,Eastern,2010,2067,105473,50915,54558
Udayapur,Sagarmatha,Hill,Eastern,2011,2068,106181,51012,55169
Udayapur,Sagarmatha,Hill,Eastern,2007,2064,83591,40382,43209
Mugu,Karnali,Mountain,Mid-Western,2008,2065,13898,7787,6111
Mugu,Karnali,Mountain,Mid-Western,2009,2066,15654,8407,7247
Mugu,Karnali,Mountain,Mid-Western,2010,2067,16831,8925,7906
Mugu,Karnali,Mountain,Mid-Western,2011,2068,16996,8825,8171
Mugu,Karnali,Mountain,Mid-Western,2007,2064,12186,7093,5094
Khotang,Sagarmatha,Hill,Eastern,2008,2065,84850,41885,42965
Khotang,Sagarmatha,Hill,Eastern,2009,2066,88379,43213,45166
Khotang,Sagarmatha,Hill,Eastern,2010,2067,71521,34466,37055
Khotang,Sagarmatha,Hill,Eastern,2011,2068,78455,37634,40821
Khotang,Sagarmatha,Hill,Eastern,2007,2064,62993,31854,31139
Kathmandu,Bagmati,Hill,Central,2008,2065,282335,145518,136817
Kathmandu,Bagmati,Hill,Central,2009,2066,337238,174711,162527
Kathmandu,Bagmati,Hill,Central,2010,2067,314720,161970,152750
Kathmandu,Bagmati,Hill,Central,2011,2068,332232,171047,161185
Kathmandu,Bagmati,Hill,Central,2007,2064,295202,153592,141610
Banke,Bheri,Terai,Mid-Western,2008,2065,121392,62859,58533
Banke,Bheri,Terai,Mid-Western,2009,2066,131014,67159,63855
Banke,Bheri,Terai,Mid-Western,2010,2067,137703,70131,67572
Banke,Bheri,Terai,Mid-Western,2011,2068,135594,68518,67076
Banke,Bheri,Terai,Mid-Western,2007,2064,114392,60136,54256
Gorkha,Gandaki,Hill,Western,2008,2065,88191,43459,44732
Gorkha,Gandaki,Hill,Western,2009,2066,89173,43515,45658
Gorkha,Gandaki,Hill,Western,2010,2067,86424,41851,44573
Gorkha,Gandaki,Hill,Western,2011,2068,83823,40552,43271
Gorkha,Gandaki,Hill,Western,2007,2064,86926,42854,44073
Baitadi,Mahakali,Hill,Far-Western,2008,2065,81921,42866,39055
Baitadi,Mahakali,Hill,Far-Western,2009,2066,89256,45730,43526
Baitadi,Mahakali,Hill,Far-Western,2010,2067,97314,49332,47982
Baitadi,Mahakali,Hill,Far-Western,2011,2068,93592,46757,46835
Baitadi,Mahakali,Hill,Far-Western,2007,2064,71843,38308,33536
Jajarkot,Bheri,Hill,Mid-Western,2008,2065,61027,31662,29365
Jajarkot,Bheri,Hill,Mid-Western,2009,2066,75272,38842,36430
Jajarkot,Bheri,Hill,Mid-Western,2010,2067,86443,42719,43724
Jajarkot,Bheri,Hill,Mid-Western,2011,2068,87298,43286,44012
Jajarkot,Bheri,Hill,Mid-Western,2007,2064,42089,23276,18813
Taplejung,Mechi,Mountain,Eastern,2008,2065,65263,31881,33382
Taplejung,Mechi,Mountain,Eastern,2009,2066,66719,32544,34175
Taplejung,Mechi,Mountain,Eastern,2010,2067,75336,36421,38915
Taplejung,Mechi,Mountain,Eastern,2011,2068,71113,34280,36833
Taplejung,Mechi,Mountain,Eastern,2007,2064,56461,28026,28435
Dolpa,Karnali,Mountain,Mid-Western,2008,2065,8153,4259,3894
Dolpa,Karnali,Mountain,Mid-Western,2009,2066,9242,4774,4468
Dolpa,Karnali,Mountain,Mid-Western,2010,2067,9783,4945,4838
Dolpa,Karnali,Mountain,Mid-Western,2011,2068,10345,5184,5161
Dolpa,Karnali,Mountain,Mid-Western,2007,2064,8285,4470,3816
Kavre,Bagmati,Hill,Central,2008,2065,126203,62850,63353
Kavre,Bagmati,Hill,Central,2009,2066,128170,63286,64884
Kavre,Bagmati,Hill,Central,2010,2067,124085,60565,63520
Kavre,Bagmati,Hill,Central,2011,2068,118362,57361,61001
Kavre,Bagmati,Hill,Central,2007,2064,121725,60716,61009
Ilam,Mechi,Hill,Eastern,2008,2065,82523,40251,42272
Ilam,Mechi,Hill,Eastern,2009,2066,80167,38701,41466
Ilam,Mechi,Hill,Eastern,2010,2067,76408,36843,39565
Ilam,Mechi,Hill,Eastern,2011,2068,71613,34299,37314
Ilam,Mechi,Hill,Eastern,2007,2064,82869,40713,42156
Saptari,Sagarmatha,Terai,Eastern,2008,2065,91127,48523,42604
Saptari,Sagarmatha,Terai,Eastern,2009,2066,122898,62538,60360
Saptari,Sagarmatha,Terai,Eastern,2010,2067,84323,42152,42171
Saptari,Sagarmatha,Terai,Eastern,2011,2068,153652,76328,77324
Saptari,Sagarmatha,Terai,Eastern,2007,2064,138084,76100,61983
Rolpa,Rapti,Hill,Mid-Western,2008,2065,65260,34049,31211
Rolpa,Rapti,Hill,Mid-Western,2009,2066,72262,36967,35295
Rolpa,Rapti,Hill,Mid-Western,2010,2067,79776,40377,39399
Rolpa,Rapti,Hill,Mid-Western,2011,2068,76689,37849,38840
Rolpa,Rapti,Hill,Mid-Western,2007,2064,55454,29566,25889
Pyuthan,Rapti,Hill,Mid-Western,2008,2065,69561,34886,34675
Pyuthan,Rapti,Hill,Mid-Western,2009,2066,72369,36097,36272
Pyuthan,Rapti,Hill,Mid-Western,2010,2067,68220,33950,34270
Pyuthan,Rapti,Hill,Mid-Western,2011,2068,72838,35795,37043
Pyuthan,Rapti,Hill,Mid-Western,2007,2064,66662,34002,32661
Solukhumbu,Sagarmatha,Mountain,Eastern,2008,2065,39995,20214,19781
Solukhumbu,Sagarmatha,Mountain,Eastern,2009,2066,38816,19379,19437
Solukhumbu,Sagarmatha,Mountain,Eastern,2010,2067,39359,19277,20082
Solukhumbu,Sagarmatha,Mountain,Eastern,2011,2068,39025,19037,19988
Solukhumbu,Sagarmatha,Mountain,Eastern,2007,2064,35373,17858,17515
Sunsari,Kosi,Terai,Eastern,2008,2065,168406,84260,84146
Sunsari,Kosi,Terai,Eastern,2009,2066,173333,85479,87854
Sunsari,Kosi,Terai,Eastern,2010,2067,163882,79249,84633
Sunsari,Kosi,Terai,Eastern,2011,2068,196562,98822,97740
Sunsari,Kosi,Terai,Eastern,2007,2064,153143,77492,75652
Myagdi,Dhawalagiri,Hill,Western,2008,2065,34451,17016,17435
Myagdi,Dhawalagiri,Hill,Western,2009,2066,34663,16884,17779
Myagdi,Dhawalagiri,Hill,Western,2010,2067,34803,16885,17918
Myagdi,Dhawalagiri,Hill,Western,2011,2068,33101,16141,16960
Myagdi,Dhawalagiri,Hill,Western,2007,2064,34097,17050,17047
Rasuwa,Bagmati,Mountain,Central,2008,2065,13031,6590,6441
Rasuwa,Bagmati,Mountain,Central,2009,2066,13819,6899,6920
Rasuwa,Bagmati,Mountain,Central,2010,2067,13588,6725,6863
Rasuwa,Bagmati,Mountain,Central,2011,2068,13754,6761,6993
Rasuwa,Bagmati,Mountain,Central,2007,2064,12979,6438,6542
Kalikot,Karnali,Mountain,Mid-Western,2008,2065,46498,24491,22007
Kalikot,Karnali,Mountain,Mid-Western,2009,2066,49483,25771,23712
Kalikot,Karnali,Mountain,Mid-Western,2010,2067,50915,26137,24778
Kalikot,Karnali,Mountain,Mid-Western,2011,2068,52184,26142,26042
Kalikot,Karnali,Mountain,Mid-Western,2007,2064,37267,20407,16859
Parbat,Dhawalagiri,Hill,Western,2008,2065,53172,26099,27073
Parbat,Dhawalagiri,Hill,Western,2009,2066,51528,25111,26417
Parbat,Dhawalagiri,Hill,Western,2010,2067,50497,24425,26072
Parbat,Dhawalagiri,Hill,Western,2011,2068,42964,20913,22051
Parbat,Dhawalagiri,Hill,Western,2007,2064,52627,26016,26611
Gulmi,Lumbini,Hill,Western,2008,2065,101459,50016,51443
Gulmi,Lumbini,Hill,Western,2009,2066,103067,50185,52882
Gulmi,Lumbini,Hill,Western,2010,2067,100821,48750,52071
Gulmi,Lumbini,Hill,Western,2011,2068,90050,43662,46388
Gulmi,Lumbini,Hill,Western,2007,2064,100406,49924,50482
Lamjung,Gandaki,Hill,Western,2008,2065,58389,28881,29508
Lamjung,Gandaki,Hill,Western,2009,2066,59723,29462,30261
Lamjung,Gandaki,Hill,Western,2010,2067,58904,28853,30051
Lamjung,Gandaki,Hill,Western,2011,2068,54003,26589,27414
Lamjung,Gandaki,Hill,Western,2007,2064,59025,29326,29699
Doti,Seti,Hill,Far-Western,2008,2065,64736,34060,30676
Doti,Seti,Hill,Far-Western,2009,2066,68812,35752,33060
Doti,Seti,Hill,Far-Western,2010,2067,71123,36693,34430
Doti,Seti,Hill,Far-Western,2011,2068,66814,33579,33235
Doti,Seti,Hill,Far-Western,2007,2064,59990,32160,27831
Okhaldhunga,Sagarmatha,Hill,Eastern,2008,2065,50714,25525,25189
Okhaldhunga,Sagarmatha,Hill,Eastern,2009,2066,53481,26698,26783
Okhaldhunga,Sagarmatha,Hill,Eastern,2010,2067,56799,27919,28880
Okhaldhunga,Sagarmatha,Hill,Eastern,2011,2068,52513,25376,27137
Okhaldhunga,Sagarmatha,Hill,Eastern,2007,2064,49258,25214,24044
Achham,Seti,Hill,Far-Western,2008,2065,89349,48729,40620
Achham,Seti,Hill,Far-Western,2009,2066,57970,30426,27544
Achham,Seti,Hill,Far-Western,2010,2067,107569,55277,52292
Achham,Seti,Hill,Far-Western,2011,2068,102268,52112,50156
Achham,Seti,Hill,Far-Western,2007,2064,79461,44361,35100
Dolakha,Janakpur,Mountain,Central,2008,2065,64242,31848,32394
Dolakha,Janakpur,Mountain,Central,2009,2066,68207,33381,34826
Dolakha,Janakpur,Mountain,Central,2010,2067,70761,34217,36544
Dolakha,Janakpur,Mountain,Central,2011,2068,64464,30780,33684
Dolakha,Janakpur,Mountain,Central,2007,2064,61770,30967,30803
Rukum,Rapti,Hill,Mid-Western,2008,2065,73883,37989,35894
Rukum,Rapti,Hill,Mid-Western,2009,2066,79632,39607,40025
Rukum,Rapti,Hill,Mid-Western,2010,2067,88806,44337,44469
Rukum,Rapti,Hill,Mid-Western,2011,2068,95701,46663,49038
Rukum,Rapti,Hill,Mid-Western,2007,2064,57510,30205,27305
Dhading,Bagmati,Hill,Central,2008,2065,107383,52503,54880
Dhading,Bagmati,Hill,Central,2009,2066,108848,52964,55884
Dhading,Bagmati,Hill,Central,2010,2067,109756,53135,56621
Dhading,Bagmati,Hill,Central,2011,2068,107266,51463,55803
Dhading,Bagmati,Hill,Central,2007,2064,103093,51342,51751
Kaski,Gandaki,Hill,Western,2008,2065,125824,63660,62164
Kaski,Gandaki,Hill,Western,2009,2066,128266,64834,63432
Kaski,Gandaki,Hill,Western,2010,2067,125988,63857,62131
Kaski,Gandaki,Hill,Western,2011,2068,119486,60990,58496
Kaski,Gandaki,Hill,Western,2007,2064,125694,63759,61935
Humla,Karnali,Mountain,Mid-Western,2008,2065,13389,7331,6058
Humla,Karnali,Mountain,Mid-Western,2009,2066,14609,8031,6578
Humla,Karnali,Mountain,Mid-Western,2010,2067,17041,9065,7976
Humla,Karnali,Mountain,Mid-Western,2011,2068,16424,8470,7954
Humla,Karnali,Mountain,Mid-Western,2007,2064,11372,6489,4884
Bhaktapur,Bagmati,Hill,Central,2008,2065,62604,31808,30796
Bhaktapur,Bagmati,Hill,Central,2009,2066,64780,32586,32194
Bhaktapur,Bagmati,Hill,Central,2010,2067,64933,32825,32108
Bhaktapur,Bagmati,Hill,Central,2011,2068,63964,32218,31746
Bhaktapur,Bagmati,Hill,Central,2007,2064,53700,26949,26751
Sindhuli,Janakpur,Hill,Central,2008,2065,108072,55529,52543
Sindhuli,Janakpur,Hill,Central,2009,2066,120794,60897,59897
Sindhuli,Janakpur,Hill,Central,2010,2067,122959,61521,61438
Sindhuli,Janakpur,Hill,Central,2011,2068,116999,57536,59463
Sindhuli,Janakpur,Hill,Central,2007,2064,87114,45450,41664
Jhapa,Mechi,Terai,Eastern,2008,2065,202082,100610,101472
Jhapa,Mechi,Terai,Eastern,2009,2066,198620,98044,100576
Jhapa,Mechi,Terai,Eastern,2010,2067,201494,100023,101471
Jhapa,Mechi,Terai,Eastern,2011,2068,187160,92340,94820
Jhapa,Mechi,Terai,Eastern,2007,2064,196366,98805,97561
Dhankuta,Kosi,Hill,Eastern,2008,2065,52130,25788,26342
Dhankuta,Kosi,Hill,Eastern,2009,2066,52754,26012,26742
Dhankuta,Kosi,Hill,Eastern,2010,2067,51972,25463,26509
Dhankuta,Kosi,Hill,Eastern,2011,2068,47937,23423,24514
Dhankuta,Kosi,Hill,Eastern,2007,2064,50583,25090,25493
Manang,Gandaki,Mountain,Western,2008,2065,885,424,461
Manang,Gandaki,Mountain,Western,2009,2066,925,443,482
Manang,Gandaki,Mountain,Western,2010,2067,897,404,493
Manang,Gandaki,Mountain,Western,2011,2068,901,419,482
Manang,Gandaki,Mountain,Western,2007,2064,1006,479,528
Bardiya,Bheri,Terai,Mid-Western,2008,2065,127565,63689,63876
Bardiya,Bheri,Terai,Mid-Western,2009,2066,130801,64374,66427
Bardiya,Bheri,Terai,Mid-Western,2010,2067,132733,65204,67529
Bardiya,Bheri,Terai,Mid-Western,2011,2068,127132,61560,65572
Bardiya,Bheri,Terai,Mid-Western,2007,2064,123773,62474,61299
Nuwakot,Bagmati,Hill,Central,2008,2065,85238,41469,43769
Nuwakot,Bagmati,Hill,Central,2009,2066,86697,42077,44620
Nuwakot,Bagmati,Hill,Central,2010,2067,75268,35685,39583
Nuwakot,Bagmati,Hill,Central,2011,2068,83975,40036,43939
Nuwakot,Bagmati,Hill,Central,2007,2064,85017,41504,43514
Ramechhap,Janakpur,Hill,Central,2008,2065,76221,37135,39086
Ramechhap,Janakpur,Hill,Central,2009,2066,81778,39600,42178
Ramechhap,Janakpur,Hill,Central,2010,2067,84768,41081,43687
Ramechhap,Janakpur,Hill,Central,2011,2068,74225,35504,38721
Ramechhap,Janakpur,Hill,Central,2007,2064,72255,35297,36958
Terhathum,Kosi,Hill,Eastern,2008,2065,40926,20022,20904
Terhathum,Kosi,Hill,Eastern,2009,2066,41886,20348,21538
Terhathum,Kosi,Hill,Eastern,2010,2067,43585,20934,22651
Terhathum,Kosi,Hill,Eastern,2011,2068,41773,20090,21683
Terhathum,Kosi,Hill,Eastern,2007,2064,40550,19935,20616
Rautahat,Narayani,Terai,Central,2008,2065,133628,75182,58446
Rautahat,Narayani,Terai,Central,2009,2066,105261,58804,46457
Rautahat,Narayani,Terai,Central,2010,2067,175391,95814,79577
Rautahat,Narayani,Terai,Central,2011,2068,198028,106323,91705
Rautahat,Narayani,Terai,Central,2007,2064,108000,62614,45386
Kapilbastu,Lumbini,Terai,Western,2008,2065,130175,70365,59810
Kapilbastu,Lumbini,Terai,Western,2009,2066,126868,67068,59800
Kapilbastu,Lumbini,Terai,Western,2010,2067,147300,77210,70090
Kapilbastu,Lumbini,Terai,Western,2011,2068,151428,78662,72766
Kapilbastu,Lumbini,Terai,Western,2007,2064,105729,58688,47041
Jumla,Karnali,Mountain,Mid-Western,2008,2065,30264,16624,13640
Jumla,Karnali,Mountain,Mid-Western,2009,2066,35710,18313,17397
Jumla,Karnali,Mountain,Mid-Western,2010,2067,34139,17320,16819
Jumla,Karnali,Mountain,Mid-Western,2011,2068,34336,17132,17204
Jumla,Karnali,Mountain,Mid-Western,2007,2064,22934,13021,9914
Bara,Narayani,Terai,Central,2008,2065,144475,77226,67249
Bara,Narayani,Terai,Central,2009,2066,169334,89919,79415
Bara,Narayani,Terai,Central,2010,2067,192118,101890,90228
Bara,Narayani,Terai,Central,2011,2068,170268,88104,82164
Bara,Narayani,Terai,Central,2007,2064,116738,66141,50596
Bajura,Seti,Mountain,Far-Western,2008,2065,41067,22382,18685
Bajura,Seti,Mountain,Far-Western,2009,2066,44447,23530,20917
Bajura,Seti,Mountain,Far-Western,2010,2067,49656,26137,23519
Bajura,Seti,Mountain,Far-Western,2011,2068,51324,26050,25274
Bajura,Seti,Mountain,Far-Western,2007,2064,34176,19238,14938
Dhanusa,Janakpur,Terai,Central,2008,2065,145047,77476,67571
Dhanusa,Janakpur,Terai,Central,2009,2066,154836,81516,73320
Dhanusa,Janakpur,Terai,Central,2010,2067,152356,77713,74643
Dhanusa,Janakpur,Terai,Central,2011,2068,160699,80759,79940
Dhanusa,Janakpur,Terai,Central,2007,2064,145611,80153,65458
Kanchanpur,Mahakali,Terai,Far-Western,2008,2065,111748,55659,56089
Kanchanpur,Mahakali,Terai,Far-Western,2009,2066,124629,61743,62886
Kanchanpur,Mahakali,Terai,Far-Western,2010,2067,135266,65721,69545
Kanchanpur,Mahakali,Terai,Far-Western,2011,2068,110864,53004,57860
Kanchanpur,Mahakali,Terai,Far-Western,2007,2064,105273,53602,51671
Palpa,Lumbini,Hill,Western,2008,2065,92812,46184,46628
Palpa,Lumbini,Hill,Western,2009,2066,93864,46783,47081
Palpa,Lumbini,Hill,Western,2010,2067,91788,45646,46142
Palpa,Lumbini,Hill,Western,2011,2068,82346,40988,41358
Palpa,Lumbini,Hill,Western,2007,2064,93606,47104,46502
Dailekh,Bheri,Hill,Mid-Western,2008,2065,94000,48176,45824
Dailekh,Bheri,Hill,Mid-Western,2009,2066,106253,53135,53118
Dailekh,Bheri,Hill,Mid-Western,2010,2067,104106,51809,52297
Dailekh,Bheri,Hill,Mid-Western,2011,2068,101191,50672,50519
Dailekh,Bheri,Hill,Mid-Western,2007,2064,78057,40602,37454
Sankhuwasabha,Kosi,Mountain,Eastern,2008,2065,52350,26414,25936
Sankhuwasabha,Kosi,Mountain,Eastern,2009,2066,54801,27277,27524
Sankhuwasabha,Kosi,Mountain,Eastern,2010,2067,55379,27516,27863
Sankhuwasabha,Kosi,Mountain,Eastern,2011,2068,51285,25284,26001
Sankhuwasabha,Kosi,Mountain,Eastern,2007,2064,50173,25530,24643
Tanahu,Gandaki,Hill,Western,2008,2065,95670,47649,48021
Tanahu,Gandaki,Hill,Western,2009,2066,96007,47008,48999
Tanahu,Gandaki,Hill,Western,2010,2067,97306,47968,49338
Tanahu,Gandaki,Hill,Western,2011,2068,94631,46550,48081
Tanahu,Gandaki,Hill,Western,2007,2064,97604,48716,48888
Nawalparasi,Lumbini,Terai,Western,2008,2065,172013,86447,85566
Nawalparasi,Lumbini,Terai,Western,2009,2066,189945,95292,94653
Nawalparasi,Lumbini,Terai,Western,2010,2067,191179,94777,96402
Nawalparasi,Lumbini,Terai,Western,2011,2068,184757,91525,93232
Nawalparasi,Lumbini,Terai,Western,2007,2064,170318,86403,83915
Surkhet,Bheri,Hill,Mid-Western,2008,2065,111011,55603,55408
Surkhet,Bheri,Hill,Mid-Western,2009,2066,117821,59156,58665
Surkhet,Bheri,Hill,Mid-Western,2010,2067,118287,58532,59755
Surkhet,Bheri,Hill,Mid-Western,2011,2068,127824,64425,63399
Surkhet,Bheri,Hill,Mid-Western,2007,2064,103056,51955,51102
Mahottari,Janakpur,Terai,Central,2008,2065,127927,70638,57289
Mahottari,Janakpur,Terai,Central,2009,2066,129195,68698,60497
Mahottari,Janakpur,Terai,Central,2010,2067,145411,76271,69140
Mahottari,Janakpur,Terai,Central,2011,2068,167548,85981,81567
Mahottari,Janakpur,Terai,Central,2007,2064,107934,61428,46506
Bhojpur,Kosi,Hill,Eastern,2008,2065,62749,31364,31385
Bhojpur,Kosi,Hill,Eastern,2009,2066,64795,32292,32503
Bhojpur,Kosi,Hill,Eastern,2010,2067,63345,31222,32123
Bhojpur,Kosi,Hill,Eastern,2011,2068,60638,29762,30876
Bhojpur,Kosi,Hill,Eastern,2007,2064,62901,31637,31264
Kailali,Seti,Terai,Far-Western,2008,2065,199817,100299,99518
Kailali,Seti,Terai,Far-Western,2009,2066,205788,100295,105493
Kailali,Seti,Terai,Far-Western,2010,2067,213965,103067,110898
Kailali,Seti,Terai,Far-Western,2011,2068,206742,97196,109546
Kailali,Seti,Terai,Far-Western,2007,2064,195501,100610,94892
Makwanpur,Narayani,Hill,Central,2008,2065,134528,66107,68421
Makwanpur,Narayani,Hill,Central,2009,2066,138826,68486,70340
Makwanpur,Narayani,Hill,Central,2010,2067,132814,65195,67619
Makwanpur,Narayani,Hill,Central,2011,2068,124766,61059,63707
Makwanpur,Narayani,Hill,Central,2007,2064,123028,59731,63297
Siraha,Sagarmatha,Terai,Eastern,2008,2065,141831,74960,66871
Siraha,Sagarmatha,Terai,Eastern,2009,2066,139323,71357,67966
Siraha,Sagarmatha,Terai,Eastern,2010,2067,157435,79052,78383
Siraha,Sagarmatha,Terai,Eastern,2011,2068,154837,76326,78511
Siraha,Sagarmatha,Terai,Eastern,2007,2064,127873,69890,57983
Salyan,Rapti,Hill,Mid-Western,2008,2065,82275,41135,41140
Salyan,Rapti,Hill,Mid-Western,2009,2066,85797,41631,44166
Salyan,Rapti,Hill,Mid-Western,2010,2067,79890,38716,41174
Salyan,Rapti,Hill,Mid-Western,2011,2068,89897,42893,47004
Salyan,Rapti,Hill,Mid-Western,2007,2064,77746,39972,37774
Parsa,Narayani,Terai,Central,2008,2065,126978,69613,57365
Parsa,Narayani,Terai,Central,2009,2066,135709,72140,63569
Parsa,Narayani,Terai,Central,2010,2067,142729,72924,69805
Parsa,Narayani,Terai,Central,2011,2068,136729,68918,67811
Parsa,Narayani,Terai,Central,2007,2064,111602,62930,48672
Lalitpur,Bagmati,Hill,Central,2008,2065,111543,56690,54853
Lalitpur,Bagmati,Hill,Central,2009,2066,119858,60088,59770
Lalitpur,Bagmati,Hill,Central,2010,2067,116673,59055,57618
Lalitpur,Bagmati,Hill,Central,2011,2068,110130,56466,53664
Lalitpur,Bagmati,Hill,Central,2007,2064,109851,56694,53157
Morang,Kosi,Terai,Eastern,2008,2065,225355,111896,113459
Morang,Kosi,Terai,Eastern,2009,2066,244323,119424,124899
Morang,Kosi,Terai,Eastern,2010,2067,238819,116200,122619
Morang,Kosi,Terai,Eastern,2011,2068,198910,94803,104107
Morang,Kosi,Terai,Eastern,2007,2064,224429,113687,110742
Sarlahi,Janakpur,Terai,Central,2008,2065,126644,70550,56094
Sarlahi,Janakpur,Terai,Central,2009,2066,161039,85732,75307
Sarlahi,Janakpur,Terai,Central,2010,2067,156933,80546,76387
Sarlahi,Janakpur,Terai,Central,2011,2068,197427,102701,94726
Sarlahi,Janakpur,Terai,Central,2007,2064,107329,61193,46137
Mustang,Dhawalagiri,Mountain,Western,2008,2065,2567,1219,1348
Mustang,Dhawalagiri,Mountain,Western,2009,2066,2666,1308,1358
Mustang,Dhawalagiri,Mountain,Western,2010,2067,2715,1374,1341
Mustang,Dhawalagiri,Mountain,Western,2011,2068,2662,1312,1350
Mustang,Dhawalagiri,Mountain,Western,2007,2064,2564,1213,1351
Dang,Rapti,Terai,Mid-Western,2008,2065,149073,73189,75884
Dang,Rapti,Terai,Mid-Western,2009,2066,161859,79192,82667
Dang,Rapti,Terai,Mid-Western,2010,2067,155693,73998,81695
Dang,Rapti,Terai,Mid-Western,2011,2068,151586,71025,80561
Dang,Rapti,Terai,Mid-Western,2007,2064,146486,73741,72746
Baglung,Dhawalagiri,Hill,Western,2008,2065,95672,47229,48443
Baglung,Dhawalagiri,Hill,Western,2009,2066,97133,47299,49834
Baglung,Dhawalagiri,Hill,Western,2010,2067,94742,46371,48371
Baglung,Dhawalagiri,Hill,Western,2011,2068,87703,42870,44833
Baglung,Dhawalagiri,Hill,Western,2007,2064,90694,45247,45447
Syangja,Gandaki,Hill,Western,2008,2065,99064,47983,51081
Syangja,Gandaki,Hill,Western,2009,2066,98636,48195,50441
Syangja,Gandaki,Hill,Western,2010,2067,95761,46809,48952
Syangja,Gandaki,Hill,Western,2011,2068,87742,43055,44687
Syangja,Gandaki,Hill,Western,2007,2064,92752,45809,46943
Rupandehi,Lumbini,Terai,Western,2008,2065,173158,91293,81865
Rupandehi,Lumbini,Terai,Western,2009,2066,207278,106781,100497
Rupandehi,Lumbini,Terai,Western,2010,2067,196872,98784,98088
Rupandehi,Lumbini,Terai,Western,2011,2068,206756,104430,102326
Rupandehi,Lumbini,Terai,Western,2007,2064,179399,95200,84201
